04.02.2023|7272|32
05.02.2023|3572|16
06.02.2023|107885|572
07.02.2023|110236|609
08.02.2023|112994|607
09.02.2023|114617|613
10.02.2023|84033|490
11.02.2023|8391|47
12.02.2023|5425|33
13.02.2023|112900|573
14.02.2023|104252|561
15.02.2023|119320|641
16.02.2023|121393|627
17.02.2023|96001|522
18.02.2023|8015|51
19.02.2023|5755|39
20.02.2023|109816|587
21.02.2023|102462|563
22.02.2023|50057|318
23.02.2023|5487|37
24.02.2023|4135|30
25.02.2023|11307|67
26.02.2023|5019|36
27.02.2023|100692|525
28.02.2023|109187|597
01.03.2023|120351|662
02.03.2023|114345|613
03.03.2023|105139|562
04.03.2023|12806|79
05.03.2023|10743|60
06.03.2023|117567|597
07.03.2023|85705|450
08.03.2023|5916|27
09.03.2023|107096|546
10.03.2023|88621|474
11.03.2023|9863|60
12.03.2023|10342|60
13.03.2023|98749|513
14.03.2023|100579|529
15.03.2023|116474|610
16.03.2023|121262|637
17.03.2023|88282|497
18.03.2023|9316|63
19.03.2023|8239|62
20.03.2023|112892|589
21.03.2023|117554|609
22.03.2023|121893|638
23.03.2023|110029|605
24.03.2023|106568|568
25.03.2023|8262|62
26.03.2023|5315|35
27.03.2023|101907|560
28.03.2023|98693|551
29.03.2023|122228|633
30.03.2023|111334|589
31.03.2023|88158|463
01.04.2023|12272|78
02.04.2023|7066|44
03.04.2023|88318|507
04.04.2023|94614|531
05.04.2023|95552|517
06.04.2023|103826|558
07.04.2023|72679|391
08.04.2023|10177|63
09.04.2023|11268|70
10.04.2023|98946|529
11.04.2023|107170|596
12.04.2023|100733|547
13.04.2023|111610|596
14.04.2023|98869|518
15.04.2023|14141|81
16.04.2023|6379|43
17.04.2023|92290|501
18.04.2023|110062|596
19.04.2023|110428|593
20.04.2023|113242|609
21.04.2023|92002|486
22.04.2023|12278|72
23.04.2023|9472|63
24.04.2023|94738|531
25.04.2023|111359|606
26.04.2023|119075|629
27.04.2023|119998|649
28.04.2023|102107|572
29.04.2023|8868|48
30.04.2023|6182|44
01.05.2023|10016|55
02.05.2023|60090|326
03.05.2023|98220|569
04.05.2023|105260|576
05.05.2023|72494|459
06.05.2023|10383|72
07.05.2023|6071|55
08.05.2023|8440|67
09.05.2023|5995|44
10.05.2023|83475|483
11.05.2023|98101|538
12.05.2023|75897|435
13.05.2023|10026|72
14.05.2023|5015|33
